Unemployment Rates,Unemployment Rates,Unemployment Rates,Unemployment Rates,Unemployment Rates,Unemployment Rates,Unemployment Rates,Unemployment Rates,Unemployment Rates,Unemployment Rates
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.0674318507890961,0.0629470672389127,0.0657142857142857,0.0617816091954023,0.0704225352112676,0.058055152394775,0.0623188405797101,0.0624092888243831,0.0588235294117647,0.0669515669515669
0.0886981402002861,0.0775862068965517,0.0802292263610315,0.0692640692640692,0.0803443328550932,0.0801749271137026,0.0733137829912023,0.069423929098966,0.0682148040638606,0.0886981402002861
0.1103151862464183,0.0955777460770328,0.0901162790697674,0.0893371757925072,0.0936599423631124,0.0898379970544919,0.0803571428571428,0.0888888888888888,0.0828488372093023,0.1074498567335243
0.1284271284271284,0.1088825214899713,0.1038011695906432,0.1021897810218978,0.1027900146842878,0.1078286558345642,0.0948148148148148,0.1066666666666666,0.0931952662721893,0.1273247496423462
0.1339155749636099,0.1201157742402315,0.1205882352941176,0.1183431952662721,0.1268221574344023,0.1285500747384155,0.1087928464977645,0.1246246246246246,0.1064467766116941,0.1407837445573294
0.1497093023255813,0.1323529411764706,0.1339285714285714,0.1384388807069219,0.135693215339233,0.1449925261584454,0.125,0.144578313253012,0.1203007518796992,0.1664254703328509
0.1596516690856313,0.1572700296735905,0.1537313432835821,0.1571218795888399,0.1475903614457831,0.1569506726457399,0.1469696969696969,0.1649175412293853,0.1420029895366218,0.1768115942028985
0.1836441893830703,0.1887072808320951,0.1784660766961651,0.188235294117647,0.1789940828402366,0.187125748502994,0.1731927710843373,0.1947291361639824,0.1720588235294117,0.2099290780141844
0.2240896358543417,0.227866473149492,0.2185714285714285,0.2316546762589928,0.2141823444283647,0.2334801762114537,0.2134502923976608,0.2324246771879483,0.212338593974175,0.25
0.256551724137931,0.260196905766526,0.2582872928176795,0.2679830747531735,0.2531645569620253,0.2666666666666666,0.2598314606741573,0.2681564245810056,0.2524271844660194,0.2857142857142857
0.291156462585034,0.2988980716253444,0.2894021739130434,0.3083219645293315,0.2833787465940054,0.2980225988700565,0.2974079126875852,0.300944669365722,0.2954856361149111,0.3149606299212598
0.328042328042328,0.3373333333333333,0.3258575197889182,0.3412384716732543,0.3182423435419441,0.3356353591160221,0.3302139037433155,0.3408488063660477,0.3239247311827957,0.3397932816537468
0.3611825192802056,0.3711615487316422,0.3564102564102564,0.3746770025839793,0.3494764397905759,0.3771812080536912,0.3568627450980392,0.3738680465717982,0.3524804177545692,0.3707865168539326
0.3895131086142322,0.4,0.3813131313131313,0.4005069708491762,0.375796178343949,0.4071146245059288,0.3893129770992366,0.4002541296060991,0.3868046571798189,0.3982843137254901
0.41375,0.4210526315789473,0.4042821158690176,0.4188679245283019,0.3947036569987389,0.4357615894039735,0.4064837905236907,0.4222503160556258,0.4066496163682864,0.4186893203883495
0.4369538077403246,0.4397972116603295,0.4258793969849246,0.4423558897243108,0.420253164556962,0.458498023715415,0.4314214463840399,0.4434673366834171,0.4283903675538656,0.4394673123486682
0.4584882280049566,0.4586466165413533,0.4469413233458177,0.4622057001239157,0.4405506883604506,0.4778645833333333,0.4524103831891223,0.46625,0.4496221662468513,0.4597839135654262
0.4778869778869778,0.4789603960396039,0.4673242909987669,0.4816176470588235,0.4626865671641791,0.500646830530401,0.4748466257668711,0.4852216748768473,0.4666666666666667,0.4775413711583924
0.4987834549878345,0.5024630541871922,0.4890243902439024,0.5030450669914738,0.4846248462484624,0.5205128205128206,0.4963592233009709,0.5060827250608273,0.4895960832313341,0.4994138335287221
0.51985559566787,0.5199516324062878,0.5114873035066505,0.5228365384615384,0.5042424242424243,0.5417721518987342,0.5224242424242425,0.5253012048192771,0.509090909090909,0.5173611111111112
0.5430622009569378,0.5434782608695652,0.5296912114014252,0.5422116527942925,0.526378896882494,0.5605493133583022,0.5430622009569378,0.545346062052506,0.5299760191846523,0.5433526011560693
0.5650118203309693,0.5669856459330144,0.5518867924528302,0.5633802816901409,0.5486935866983373,0.5795314426633785,0.5638297872340425,0.5719381688466112,0.5508274231678487,0.5576923076923077
0.5857642940490082,0.590047393364929,0.5762910798122066,0.5821759259259259,0.571764705882353,0.5987878787878788,0.5829439252336449,0.5894736842105263,0.5751173708920188,0.5771812080536913
0.603448275862069,0.6091015169194866,0.5949074074074074,0.5956964892412231,0.5943728018757327,0.6218487394957983,0.6034682080924856,0.6096997690531177,0.5942196531791908,0.5982241953385128
0.6183465458663646,0.628735632183908,0.616,0.6129032258064516,0.6181606519208381,0.6409952606635071,0.621436716077537,0.6301369863013698,0.6099773242630385,0.6153005464480874
0.6441441441441441,0.6459977452085682,0.6362612612612613,0.63646408839779,0.6401384083044983,0.6635404454865181,0.6437429537767756,0.6509009009009009,0.6283482142857143,0.6374458874458875
0.6607734806629835,0.6651835372636262,0.659217877094972,0.6608122941822173,0.6587301587301587,0.6797235023041475,0.664071190211346,0.6756152125279642,0.649393605292172,0.6545842217484008
0.6812227074235808,0.6831140350877193,0.6777041942604857,0.6818675352877307,0.6789709172259508,0.696045197740113,0.6868798235942668,0.6907894736842105,0.6663055254604551,0.6726315789473685
0.7005405405405405,0.6967741935483871,0.6949891067538126,0.7009646302250804,0.7003329633740288,0.7122222222222222,0.7046688382193268,0.703862660944206,0.683083511777302,0.694560669456067
0.7188498402555911,0.7162592986184909,0.7116827438370846,0.723404255319149,0.7156862745098039,0.731359649122807,0.7250268528464017,0.7194092827004219,0.6997885835095138,0.7123711340206186
